ticker,name,sector,industry,cik
MMM,3M,Industrials,Industrial Conglomerates,66740
AOS,A. O. Smith,Industrials,Building Products,91142
ABT,Abbott Laboratories,Health Care,Health Care Equipment,1800
ABBV,AbbVie,Health Care,Biotechnology,1551152
ACN,Accenture,Information Technology,IT Consulting & Other Services,1467373
ADBE,Adobe Inc.,Information Technology,Application Software,796343
AMD,Advanced Micro Devices,Information Technology,Semiconductors,2488
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,874761
AFL,Aflac,Financials,Life & Health Insurance,4977
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,1090872
APD,Air Products,Materials,Industrial Gases,2969
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1559720
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,1086222
ALB,Albemarle Corporation,Materials,Specialty Chemicals,915913
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,1035443
ALGN,Align Technology,Health Care,Health Care Supplies,1097149
ALLE,Allegion,Industrials,Building Products,1579241
LNT,Alliant Energy,Utilities,Electric Utilities,352541
ALL,Allstate,Financials,Property & Casualty Insurance,899051
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,1652044
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,1652044
MO,Altria,Consumer Staples,Tobacco,764180
AMZN,Amazon,Consumer Discretionary,Broadline Retail,1018724
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,1748790
AEE,Ameren,Utilities,Multi-Utilities,1002910
AEP,American Electric Power,Utilities,Electric Utilities,4904
AXP,American Express,Financials,Consumer Finance,4962
AIG,American International Group,Financials,Multi-line Insurance,5272
AMT,American Tower,Real Estate,Telecom Tower REITs,1053507
AWK,American Water Works,Utilities,Water Utilities,1410636
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,820027
AME,Ametek,Industrials,Electrical Components & Equipment,1037868
AMGN,Amgen,Health Care,Biotechnology,318154
APH,Amphenol,Information Technology,Electronic Components,820313
ADI,Analog Devices,Information Technology,Semiconductors,6281
AON,Aon plc,Financials,Insurance Brokers,315293
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,1841666
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,1858681
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",320193
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,6951
APP,AppLovin,Communication Services,Advertising,1751008
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,1521332
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,947484
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,7084
ARES,Ares Management,Financials,Asset Management & Custody Banks,1176948
ANET,Arista Networks,Information Technology,Communications Equipment,1596532
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,354190
AIZ,Assurant,Financials,Multi-line Insurance,1267238
T,AT&T,Communication Services,Integrated Telecommunication Services,732717
ATO,Atmos Energy,Utilities,Gas Utilities,731802
ADSK,Autodesk,Information Technology,Application Software,769397
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,8670
AZO,AutoZone,Consumer Discretionary,Automotive Retail,866787
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,8818
AXON,Axon Enterprise,Industrials,Aerospace & Defense,1069183
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,1701605
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",9389
BAC,Bank of America,Financials,Diversified Banks,70858
BAX,Baxter International,Health Care,Health Care Equipment,10456
BDX,Becton Dickinson,Health Care,Health Care Equipment,10795
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,1067983
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,764478
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,842023
BIIB,Biogen,Health Care,Biotechnology,875045
BLK,BlackRock,Financials,Asset Management & Custody Banks,2012383
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,1393818
XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,1512673
BE,Bloom Energy,Industrials,Electrical Components & Equipment,1664703
BNY,BNY Mellon,Financials,Asset Management & Custody Banks,1390777
BA,Boeing,Industrials,Aerospace & Defense,12927
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1075531
BSX,Boston Scientific,Health Care,Health Care Equipment,885725
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,14272
AVGO,Broadcom,Information Technology,Semiconductors,1730168
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,1383312
BRO,Brown & Brown,Financials,Insurance Brokers,79282
BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,14693
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,1996862
BXP,"BXP, Inc.",Real Estate,Office REITs,1037540
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,1043277
CDNS,Cadence Design Systems,Information Technology,Application Software,813672
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,906345
COF,Capital One,Financials,Consumer Finance,927628
CAH,Cardinal Health,Health Care,Health Care Distributors,721371
CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",815097
CARR,Carrier Global,Industrials,Building Products,1783180
CVNA,Carvana,Consumer Discretionary,Automotive Retail,1690820
CASY,Casey's,Consumer Staples,Food Retail,726958
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,18230
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1374310
CBRE,CBRE Group,Real Estate,Real Estate Services,1138118
CDW,CDW Corporation,Information Technology,Technology Distributors,1402057
COR,Cencora,Health Care,Health Care Distributors,1140859
CNC,Centene Corporation,Health Care,Managed Health Care,1071739
CNP,CenterPoint Energy,Utilities,Multi-Utilities,1130310
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,1324404
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,1100682
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,316709
CHTR,Charter Communications,Communication Services,Cable & Satellite,1091667
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,93410
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,1058090
CB,Chubb Limited,Financials,Property & Casualty Insurance,896159
CHD,Church & Dwight,Consumer Staples,Household Products,313927
CIEN,Ciena,Information Technology,Communications Equipment,936395
CI,Cigna,Health Care,Health Care Services,1739940
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,20286
CTAS,Cintas,Industrials,Diversified Support Services,723254
CSCO,Cisco,Information Technology,Communications Equipment,858877
C,Citigroup,Financials,Diversified Banks,831001
CFG,Citizens Financial Group,Financials,Regional Banks,759944
CLX,Clorox,Consumer Staples,Household Products,21076
CME,CME Group,Financials,Financial Exchanges & Data,1156375
CMS,CMS Energy,Utilities,Multi-Utilities,811156
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,21344
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,1058290
COHR,Coherent Corp.,Information Technology,Electronic Components,820318
COIN,Coinbase,Financials,Financial Exchanges & Data,1679788
CL,Colgate-Palmolive,Consumer Staples,Household Products,21665
CMCSA,Comcast,Communication Services,Cable & Satellite,1166691
FIX,Comfort Systems USA,Industrials,Construction & Engineering,1035983
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,1163165
ED,Consolidated Edison,Utilities,Multi-Utilities,1047862
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,16918
